"Name","Price","Size","InStock","DeliveryAvailable","URL"
"Glenlivet 12 Yr","$77.99","1.75L","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/glenlivet-12-yr/p/2792175?s=1701&igrules=true"
"Balvenie 12 Yr Double Wood","$48.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/balvenie-12-yr-double-wood/p/5484750?s=1701&igrules=true"
"Macallan 12 Yr","$61.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/macallan-12-yr/p/644750?s=1701&igrules=true"
"Macallan 12 Yr Double Cask","$59.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/macallan-12-yr-double-cask/p/170925750?s=1701&igrules=true"
"Lagavulin 16 Yr","$84.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/lagavulin-16-yr/p/643750?s=1701&igrules=true"
"Balvenie 14 Yr Caribbean Cask","$64.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/balvenie-14-yr-caribbean-cask/p/113439750?s=1701&igrules=true"
"Oban 14 Yr","$69.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/oban-14-yr/p/678750?s=1701&igrules=true"
"Glenfiddich 12 Yr","$41.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenfiddich-12-yr/p/2789750?s=1701&igrules=true"
"Glenmorangie The Original","$31.49","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-the-original/p/101299750?s=1701&igrules=true"
"Suntory Whisky Toki","$32.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/suntory-whisky-toki/p/171668750?s=1701&igrules=true"
"Glenmorangie The Original","$69.99","1.75L","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-the-original/p/101299175?s=1701&igrules=true"
"Macallan Fine Oak 15 Yr Triple Csk","$129.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/macallan-fine-oak-15-yr-triple-csk/p/92754750?s=1701&igrules=true"
"Glenlivet 18 Yr","$94.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenlivet-18-yr/p/2793750?s=1701&igrules=true"
"Shieldaig Speyside Single Malt 12Yr","$31.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/shieldaig-speyside-single-malt-12yr/p/109033750?s=1701&igrules=true"
"Grangestone 12 Yr Single Malt Scotch Whisky","$34.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/gift-center/scotch/single-malt/grangestone-12-yr-single-malt-scotch-whisky/p/115861750?s=1701&igrules=true"
"Glenmorangie Lasanta 12 Year","$47.99","750ml","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-lasanta-12-year/p/101301750?s=1701&igrules=true"
"Highland Park 12 Yr","$43.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/highland-park-12-yr/p/4951750?s=1701&igrules=true"
